"","first_name","last_name","nickname","height_inches","weight_lb","armspan_inches","stance","wins","losses","draws","total_fights","stance2"
"1","Tom","Aaron","",NA,155,NA,NA,5,3,0,8,NA
"2","Danny","Abbadi","The Assassin",71,155,NA,"Orthodox",4,6,0,10,"Orthodox"
"3","David","Abbott","Tank",72,265,NA,"Switch",10,15,0,25,"Mixed"
"4","Shamil","Abdurakhimov","Abrek",75,235,76,"Orthodox",20,5,0,25,"Orthodox"
"5","Hiroyuki","Abe","Abe Ani",66,145,NA,"Orthodox",8,15,3,26,"Orthodox"
"6","Daichi","Abe","",71,170,71,"Orthodox",6,2,0,8,"Orthodox"
"7","Papy","Abedi","Makambo",71,185,NA,"Southpaw",10,4,0,14,"Southpaw"
"8","Ricardo","Abreu","Demente",71,185,NA,"Orthodox",5,1,0,6,"Orthodox"
"9","Klidson","Abreu","White Bear",72,205,74,"Orthodox",15,4,0,19,"Orthodox"
"10","Daniel","Acacio","",68,180,NA,"Orthodox",30,18,0,48,"Orthodox"
"11","Scott","Adams","",72,225,NA,"Southpaw",8,1,0,9,"Southpaw"
"12","Juan","Adams","The Kraken",77,265,80,"Orthodox",5,3,0,8,"Orthodox"
"13","Anthony","Adams","Sugafoot",73,185,76,"Orthodox",8,2,0,10,"Orthodox"
"14","Zarrukh","Adashev","The Lion",65,125,65,"Southpaw",3,3,0,6,"Southpaw"
"15","Israel","Adesanya","The Last Stylebender",76,185,80,"Switch",20,1,0,21,"Mixed"
"16","Sam","Adkins","The Experience",75,225,NA,"Orthodox",7,20,2,29,"Orthodox"
"17","Nick","Agallar","",68,155,NA,"Orthodox",24,6,0,30,"Orthodox"
"18","Mariya","Agapova","",66,125,68,"Southpaw",9,2,0,11,"Southpaw"
"19","Marcelo","Aguiar","",70,170,NA,"Orthodox",2,3,1,6,"Orthodox"
"20","Fabio","Aguiar","",72,185,NA,NA,17,1,0,18,NA
"21","Edwin","Aguilar","Tigre",70,185,NA,NA,26,19,0,45,NA
"22","Jessica","Aguilar","Jag",63,115,63,"Orthodox",20,8,0,28,"Orthodox"
"23","Kevin","Aguilar","Angel of Death",67,155,73,"Orthodox",17,4,0,21,"Orthodox"
"24","Christian","Aguilera","The Beast",69,170,72,"Switch",14,7,0,21,"Mixed"
"25","Mike","Aina","Iron",69,155,NA,"Orthodox",14,6,1,21,"Orthodox"
"26","Hitomi","Akano","Girlfight Monster",64,135,NA,"Southpaw",18,10,0,28,"Southpaw"
"27","Omari","Akhmedov","Wolverine",72,185,73,"Orthodox",21,5,1,27,"Orthodox"
"28","Yoshihiro","Akiyama","",70,170,75,"Orthodox",14,6,0,20,"Orthodox"
"29","Rostem","Akman","",70,170,72,"Switch",6,2,0,8,"Mixed"
"30","Razak","Al-Hassan","",74,205,NA,"Orthodox",13,5,0,18,"Orthodox"
"31","Mostapha","Al-Turk","",74,245,77,"Orthodox",6,6,0,12,"Orthodox"
"32","Herdem","Alacabek","",74,205,75,"Orthodox",5,1,0,6,"Orthodox"
"33","Javi","Alanis","",66,135,NA,NA,0,4,0,4,NA
"34","Heili","Alateng","The Mongolian Knight",65,135,66,"Orthodox",14,8,1,23,"Orthodox"
"35","Amir","Albazi","The Prince",65,125,68,"Orthodox",14,1,0,15,"Orthodox"
"36","Brett","Albee","",NA,225,NA,NA,3,2,0,5,NA
"37","John","Albert","Prince",68,135,68,"Orthodox",6,5,0,11,"Orthodox"
"38","Junior","Albini","Baby",75,264,74,"Orthodox",14,6,0,20,"Orthodox"
"39","Wes","Albritton","",70,188,NA,"Orthodox",0,1,0,1,"Orthodox"
"40","Aleksandra","Albu","Stitch",62,115,63,"Orthodox",3,2,0,5,"Orthodox"
"41","Israel","Albuquerque","",NA,185,NA,"Orthodox",0,3,0,3,"Orthodox"
"42","Juan","Alcain","",NA,NA,NA,NA,1,2,0,3,NA
"43","Iuri","Alcantara","Marajo",69,135,71,"Southpaw",35,10,0,45,"Southpaw"
"44","Ildemar","Alcantara","Marajo",74,185,78,"Orthodox",21,11,0,32,"Orthodox"
"45","Alfonso","Alcarez","",63,145,NA,NA,1,3,1,5,NA
"46","Gilbert","Aldana","El Peligro",73,250,NA,"Orthodox",6,2,0,8,"Orthodox"
"47","Irene","Aldana","",69,135,68,"Orthodox",12,6,0,18,"Orthodox"
"48","Hector","Aldana","",71,170,72,"Orthodox",4,3,0,7,"Orthodox"
"49","Jose","Aldo","",67,135,70,"Orthodox",29,7,0,36,"Orthodox"
"50","JJ","Aldrich","",65,125,67,"Southpaw",8,4,0,12,"Southpaw"
"51","Jim","Alers","The Beast",69,145,71,"Orthodox",13,3,0,16,"Orthodox"
"52","John","Alessio","The Natural",70,155,72,"Orthodox",35,17,0,52,"Orthodox"
"53","Houston","Alexander","The Assassin",72,205,72,"Orthodox",17,15,1,33,"Orthodox"
"54","Kenneth","Alexander","The Machine",69,155,NA,"Orthodox",7,6,0,13,"Orthodox"
"55","Marcio","Alexandre Junior","Lyoto",72,185,75,"Southpaw",17,4,0,21,"Southpaw"
"56","Olaf","Alfonso","",74,170,NA,"Orthodox",8,12,0,20,"Orthodox"
"57","Pablo","Alfonso","The Hurricane",68,145,NA,NA,9,7,0,16,NA
"58","Levi","Alford","",NA,NA,NA,NA,1,7,0,8,NA
"59","Bill","Algeo","Senor Perfecto",72,145,73,"Switch",14,5,0,19,"Mixed"
"60","Royce","Alger","",70,199,NA,"Orthodox",3,2,0,5,"Orthodox"
"61","Amir","Aliakbari","",75,250,NA,NA,10,1,0,11,NA
"62","Sultan","Aliev","",71,170,74,"Orthodox",15,3,0,18,"Orthodox"
"63","John","Allan","",73,205,75,"Orthodox",13,6,0,19,"Orthodox"
"64","George","Allen","",74,205,NA,"Open Stance",13,19,2,34,"Mixed"
"65","Arnold","Allen","Almighty",68,145,70,"Southpaw",16,1,0,17,"Southpaw"
"66","Brendan","Allen","All In",74,185,75,"Orthodox",15,4,0,19,"Orthodox"
"67","Ben","Alloway","Blanco",71,170,76,"Orthodox",18,8,0,26,"Orthodox"
"68","Ricardo","Almeida","Big Dog",72,170,74,"Orthodox",13,5,0,18,"Orthodox"
"69","Magno","Almeida","",72,155,NA,NA,10,3,0,13,NA
"70","Thomas","Almeida","Thominhas",67,145,70,"Southpaw",22,4,0,26,"Southpaw"
"71","Ericka","Almeida","",66,115,NA,"Orthodox",7,3,0,10,"Orthodox"
"72","Estefani","Almeida","",64,125,NA,"Orthodox",7,3,0,10,"Orthodox"
"73","Mauricio","Alonso","",74,170,NA,NA,13,7,0,20,NA
"74","Sarah","Alpar","Too Sweet",64,135,63,"Southpaw",9,5,0,14,"Southpaw"
"75","Ali","AlQaisi","The Royal Fighter",66,135,68,"Orthodox",8,5,0,13,"Orthodox"
"76","Rico","Altamirano","",70,170,NA,NA,4,3,0,7,NA
"77","Mike","Altman","",70,185,NA,"Orthodox",1,4,0,5,"Orthodox"
"78","Sean","Alvarez","",72,235,NA,"Orthodox",4,3,0,7,"Orthodox"
"79","Eddie","Alvarez","",69,155,69,"Orthodox",29,6,0,35,"Orthodox"
"80","Jaime","Alvarez","",68,125,69,"Orthodox",6,1,0,7,"Orthodox"
"81","Joel","Alvarez","El Fenomeno",75,155,77,"Orthodox",18,2,0,20,"Orthodox"
"82","Thiago","Alves","Pitbull",69,170,70,"Orthodox",23,15,0,38,"Orthodox"
"83","Anthony","Alves","",NA,NA,NA,NA,1,4,0,5,NA
"84","Amilcar","Alves","",72,170,NA,"Southpaw",15,12,0,27,"Southpaw"
"85","Warlley","Alves","",71,170,72,"Orthodox",15,4,0,19,"Orthodox"
"86","Rafael","Alves","The Turn",68,145,68,"Orthodox",19,9,0,28,"Orthodox"
"87","Sam","Alvey","Smile'N",74,205,75,"Southpaw",33,14,1,48,"Southpaw"
"88","Andre","Amado","Dida",72,154,NA,"Orthodox",6,4,1,11,"Orthodox"
"89","Adlan","Amagov","Borz",74,170,76,"Orthodox",14,2,1,17,"Orthodox"
"90","Maiara","Amanajas dos Santos","",65,115,NA,"Southpaw",7,3,0,10,"Southpaw"
"91","Chris","Amarante","",NA,185,NA,NA,2,0,0,2,NA
"92","Jimmy","Ambriz","The Titan",74,315,NA,"Southpaw",17,21,1,39,"Southpaw"
"93","JJ","Ambrose","",70,170,NA,"Orthodox",28,7,0,35,"Orthodox"
"94","Alen","Amedovski","",70,185,74,"Orthodox",8,2,0,10,"Orthodox"
"95","Makwan","Amirkhani","Mr. Finland",70,145,72,"Southpaw",16,5,0,21,"Southpaw"
"96","Bertrand","Amoussou","",68,190,NA,"Orthodox",1,1,0,2,"Orthodox"
"97","Karl","Amoussou","The Psycho",71,185,NA,"Orthodox",27,7,2,36,"Orthodox"
"98","Eryk","Anders","Ya Boi",73,185,75,"Southpaw",13,5,0,18,"Southpaw"
"99","Matt","Andersen","",74,230,NA,"Southpaw",14,8,1,23,"Southpaw"
"100","Andy","Anderson","The Hammer",66,240,NA,NA,0,1,0,1,NA
"101","Lowell","Anderson","",66,160,NA,"Orthodox",0,1,0,1,"Orthodox"
"102","Corey","Anderson","Overtime",75,205,79,"Orthodox",14,5,0,19,"Orthodox"
"103","Derek","Anderson","Barbaric",72,155,NA,NA,14,3,0,17,NA
"104","Megan","Anderson","",72,145,72,"Orthodox",11,5,0,16,"Orthodox"
"105","Alex","Andrade","El Toro",71,200,NA,"Orthodox",10,5,0,15,"Orthodox"
"106","Jessica","Andrade","Bate Estaca",61,115,62,"Orthodox",21,8,0,29,"Orthodox"
"107","Viscardi","Andrade","",71,170,75,"Orthodox",19,6,0,25,"Orthodox"
"108","Jermaine","Andre","",67,200,NA,"Orthodox",14,4,0,18,"Orthodox"
"109","Dylan","Andrews","The Villain",73,185,74,"Switch",18,7,0,25,"Mixed"
"110","Reese","Andy","Riptide",72,205,NA,"Orthodox",7,3,0,10,"Orthodox"
"111","Julius","Anglickas","",75,205,NA,"Orthodox",5,1,0,6,"Orthodox"
"112","Collin","Anglin","",69,145,71,"Orthodox",8,1,0,9,"Orthodox"
"113","Yoji","Anjo","Mr. 200%",71,205,NA,"Orthodox",0,5,1,6,"Orthodox"
"114","Magomed","Ankalaev","",75,205,75,"Orthodox",15,1,0,16,"Orthodox"
"115","Nina","Ansaroff","",65,115,64,"Orthodox",10,6,0,16,"Orthodox"
"116","Gadzhimurad","Antigulov","",71,205,70,"Orthodox",20,8,0,28,"Orthodox"
"117","Adam","Antolin","Captain Chaos",65,125,63,"Orthodox",12,3,0,15,"Orthodox"
"118","Angelo","Antonio","",NA,205,NA,"Orthodox",1,4,0,5,"Orthodox"
"119","Azunna","Anyanwu","Zulu",73,251,NA,"Orthodox",14,5,0,19,"Orthodox"
"120","Shinsho","Anzai","Animal",67,170,70,"Orthodox",10,3,0,13,"Orthodox"
"121","Shinya","Aoki","Tobikan Judan",71,154,NA,"Southpaw",39,7,0,46,"Southpaw"
"122","Aori","Qileng","",67,125,NA,NA,15,6,0,21,NA
"123","Josh","Appelt","",70,255,NA,"Southpaw",15,7,0,22,"Southpaw"
"124","Erik","Apple","",72,170,NA,"Orthodox",10,3,0,13,"Orthodox"
"125","Kenji","Arai","",70,145,NA,"Southpaw",15,15,5,35,"Southpaw"
"126","Romie","Aram","",70,170,NA,"Orthodox",7,1,0,8,"Orthodox"
"127","Felipe","Arantes","Sertanejo",68,135,73,"Orthodox",18,10,1,29,"Orthodox"
"128","Igor","Araujo","",73,170,77,"Orthodox",25,9,0,34,"Orthodox"
"129","Viviane","Araujo","Vivi",64,125,68,"Orthodox",10,2,0,12,"Orthodox"
"130","Julio","Arce","",67,145,70,"Southpaw",16,4,0,20,"Southpaw"
"131","Art","Arciniega","King Arthur",68,145,NA,NA,15,7,0,22,NA
"132","Tristan","Arenal","",NA,155,NA,NA,7,4,0,11,NA
"133","Andrei","Arlovski","The Pitbull",75,240,77,"Orthodox",30,20,0,50,"Orthodox"
"134","Joey","Armstrong","",NA,NA,NA,NA,5,2,0,7,NA
"135","Austin","Arnett","",72,145,72,"Orthodox",16,6,0,22,"Orthodox"
"136","Ricardo","Arona","The Brazilian Tiger",71,205,NA,"Orthodox",14,5,0,19,"Orthodox"
"137","Chalid","Arrab","Die Faust",71,205,NA,"Orthodox",7,3,0,10,"Orthodox"
"138","Akbarh","Arreola","El Caballero",70,155,71,"Southpaw",23,11,1,35,"Southpaw"
"139","Matt","Arroyo","No Regard",70,170,72,"Orthodox",3,3,0,6,"Orthodox"
"140","Antonio","Arroyo","",75,185,73,"Orthodox",9,4,0,13,"Orthodox"
"141","Gilles","Arsene","",69,190,NA,"Southpaw",1,1,0,2,"Southpaw"
"142","Veta","Arteaga","",67,125,NA,NA,3,1,0,4,NA
"143","Cesar","Arzamendia","Goku",71,155,NA,"Orthodox",8,3,0,11,"Orthodox"
"144","Teddy","Ash","Bear",73,185,73,"Switch",14,5,0,19,"Mixed"
"145","Arman","Ashimov","Mustafa Ozturik",66,125,NA,NA,11,3,1,15,NA
"146","Askar","Askar","AK-47",67,145,69,"Orthodox",11,1,0,12,"Orthodox"
"147","Askar","Askarov","Bullet",66,125,67,"Orthodox",13,0,1,14,"Orthodox"
"148","Cyril","Asker","Silverback",72,247,74,"Orthodox",9,4,0,13,"Orthodox"
"149","Scott","Askham","",75,185,75,"Southpaw",14,4,0,18,"Southpaw"
"150","Ben","Askren","Funky",71,170,73,"Orthodox",19,2,0,21,"Orthodox"
"151","Ibo","Aslan","The Last Ottoman",75,205,NA,NA,8,0,0,8,NA
"152","Tom","Aspinall","",77,256,78,"Orthodox",10,2,0,12,"Orthodox"
"153","Bruno","Assis","Brunao",74,185,NA,"Orthodox",8,4,0,12,"Orthodox"
"154","Junior","Assuncao","",69,145,72,"Orthodox",16,6,0,22,"Orthodox"
"155","Raphael","Assuncao","",65,135,66,"Orthodox",27,8,0,35,"Orthodox"
"156","Bazigit","Atajev","Volk",73,230,NA,"Orthodox",17,1,0,18,"Orthodox"
"157","Rich","Attonito","The Raging Bull",70,170,72,"Orthodox",10,5,0,15,"Orthodox"
"158","Olivier","Aubin-Mercier","The Canadian Gangster",69,155,70,"Southpaw",11,5,0,16,"Southpaw"
"159","Pat","Audinwood","Awesomely Awesome",72,155,NA,"Orthodox",11,2,1,14,"Orthodox"
"160","Jose","Augusto","Gugu",75,251,NA,NA,6,2,0,8,NA
"161","Marcus","Aurelio","Maximus",70,155,74,"Orthodox",22,10,0,32,"Orthodox"
"162","David","Avellan","",69,185,NA,"Orthodox",2,1,0,3,"Orthodox"
"163","Blas","Avena","The Disciple",72,170,74,"Orthodox",8,7,0,15,"Orthodox"
"164","Levi","Avera","",73,170,NA,NA,18,15,0,33,NA
"165","Anthony","Avila","",67,145,NA,NA,13,5,0,18,NA
"166","Chris","Avila","",70,145,NA,"Orthodox",5,4,0,9,"Orthodox"
"167","Julia","Avila","Raging Panda",67,135,68,"Orthodox",8,2,0,10,"Orthodox"
"168","Saad","Awad","Assassin",71,155,NA,NA,20,9,0,29,NA
"169","Javy","Ayala","Eye Candy",73,265,NA,NA,10,5,0,15,NA
"170","Jessin","Ayari","",72,155,73,"Orthodox",16,6,0,22,"Orthodox"
"171","Abu","Azaitar","",69,185,76,"Orthodox",14,1,1,16,"Orthodox"
"172","Ottman","Azaitar","Bulldozer",68,155,71,"Switch",13,0,0,13,"Mixed"
"173","Luiz","Azeredo","",69,154,NA,"Orthodox",15,10,0,25,"Orthodox"
"174","Luciano","Azevedo","",75,161,NA,"Orthodox",17,9,1,27,"Orthodox"
"175","Hunter","Azure","",68,145,69,"Orthodox",9,1,0,10,"Orthodox"
"176","Niklas","Backstrom","",73,145,NA,"Orthodox",11,3,0,14,"Orthodox"
"177","Seth","Baczynski","The Polish Pistola",75,170,75,"Orthodox",20,14,0,34,"Orthodox"
"178","Ryan","Bader","Darth",74,205,74,"Orthodox",23,5,0,28,"Orthodox"
"179","Izabela","Badurek","",65,115,NA,"Orthodox",6,3,0,9,"Orthodox"
"180","Miguel","Baeza","Caramel Thunder",74,170,74,"Orthodox",10,0,0,10,"Orthodox"
"181","Ali","Bagautinov","Puncher",64,125,65,"Orthodox",15,6,0,21,"Orthodox"
"182","Mehdi","Baghdad","The Sultan",73,155,NA,"Orthodox",11,5,0,16,"Orthodox"
"183","Melsik","Baghdasaryan","The Gun",69,145,70,"Southpaw",5,1,0,6,"Southpaw"
"184","Siyar","Bahadurzada","The Great",71,170,73,"Orthodox",24,8,1,33,"Orthodox"
"185","Ignacio","Bahamondes","La Jaula",75,170,75,"Orthodox",11,3,0,14,"Orthodox"
"186","Shamar","Bailey","",69,155,75,"Southpaw",16,11,0,27,"Southpaw"
"187","Jordan","Bailey","",69,145,NA,NA,6,3,0,9,NA
"188","Scott","Baker","",72,210,NA,NA,1,1,0,2,NA
"189","Bryan","Baker","The Beast",75,185,NA,"Orthodox",18,5,0,23,"Orthodox"
"190","Oluwale","Bamgbose","Holy War Angel",71,185,78,"Switch",6,4,0,10,"Mixed"
"191","Stephen","Banaszak","",72,145,NA,NA,5,5,0,10,NA
"192","Marcin","Bandel","Bomba",70,155,NA,"Orthodox",15,7,0,22,"Orthodox"
"193","Humberto","Bandenay","",71,145,71,"Southpaw",14,7,0,21,"Southpaw"
"194","Tae Hyun","Bang","Supernatural",69,155,71,"Switch",18,10,0,28,"Mixed"
"195","Yohan","Banks","",NA,NA,NA,NA,2,1,0,3,NA
"196","Antonio","Banuelos","",65,135,63,"Orthodox",20,11,1,32,"Orthodox"
"197","Renan","Barao","The Baron",66,145,70,"Orthodox",34,9,0,43,"Orthodox"
"198","Junior","Barata","",70,170,NA,"Orthodox",9,3,1,13,"Orthodox"
"199","Maycee","Barber","The Future",65,125,65,"Switch",8,2,0,10,"Mixed"
"200","Bryan","Barberena","Bam Bam",72,170,72,"Southpaw",15,7,0,22,"Southpaw"
"201","Edson","Barboza","Junior",71,145,75,"Orthodox",21,9,0,30,"Orthodox"
"202","Raoni","Barcelos","",67,135,67,"Orthodox",16,1,0,17,"Orthodox"
"203","Luke","Barnatt","The Bigslow",78,185,77,"Orthodox",13,4,0,17,"Orthodox"
"204","James","Barnes","",68,145,NA,NA,7,2,0,9,NA
"205","Nick","Barnes","",71,170,NA,NA,11,2,0,13,NA
"206","Josh","Barnett","The Warmaster",75,250,78,"Orthodox",35,8,0,43,"Orthodox"
"207","Chris","Barnhizer","",NA,NA,NA,NA,2,3,0,5,NA
"208","David","Baron","",66,155,NA,"Switch",17,4,1,22,"Mixed"
"209","Phil","Baroni","The New York Bad Ass",69,170,72,"Orthodox",15,18,0,33,"Orthodox"
"210","Dan","Barrera","The Fireman",69,170,NA,"Orthodox",3,1,0,4,"Orthodox"
"211","Carlos","Barreto","",76,230,NA,"Orthodox",14,9,0,23,"Orthodox"
"212","Jose","Barreto","",NA,185,NA,"Southpaw",0,1,0,1,"Southpaw"
"213","Peter","Barrett","Slippery",70,145,73,"Southpaw",11,5,0,16,"Southpaw"
"214","Marc-Andre","Barriault","Powerbar",73,185,74,"Orthodox",11,4,0,15,"Orthodox"
"215","David","Barrios","",66,145,NA,NA,4,8,0,12,NA
"216","Alexandre","Barros","Baixinho",69,170,NA,"Southpaw",22,11,0,33,"Southpaw"
"217","Ricardo","Barros","",73,205,NA,NA,2,2,0,4,NA
"218","Francimar","Barroso","Bodao",73,205,75,"Orthodox",19,7,0,26,"Orthodox"
"219","Pat","Barry","HD",71,235,74,"Orthodox",8,7,0,15,"Orthodox"
"220","Dean","Barry","The Sniper",NA,155,NA,NA,3,1,0,4,NA
"221","Enrique","Barzola","El Fuerte",67,145,70,"Orthodox",17,5,2,24,"Orthodox"
"222","Stephen","Bass","Bigfish",69,145,NA,"Orthodox",11,2,0,13,"Orthodox"
"223","Sean","Bassett","",NA,155,NA,NA,0,4,0,4,NA
"224","Ryan","Bastianelli","Relentless",65,135,NA,NA,6,7,0,13,NA
"225","Shayna","Baszler","The Queen of Spades",67,135,NA,"Orthodox",15,11,0,26,"Orthodox"
"226","Batgerel","Danaa","Storm",67,135,70,"Orthodox",7,2,0,9,"Orthodox"
"227","Michel","Batista","",75,260,NA,"Orthodox",4,1,0,5,"Orthodox"
"228","Alan","Baudot","The Black Samourai",75,243,79,"Orthodox",8,2,0,10,"Orthodox"
"229","Mario","Bautista","",69,135,69,"Switch",8,2,0,10,"Mixed"
"230","Chris","Beal","Real Deal",67,125,69,"Orthodox",10,5,0,15,"Orthodox"
"231","Rudy","Bears","",71,170,NA,"Southpaw",16,15,0,31,"Southpaw"
"232","Salvador","Becerra","",69,155,NA,NA,5,2,0,7,NA
"233","Ariel","Beck","",66,125,66,"Southpaw",4,5,0,9,"Southpaw"
"234","Jeff","Bedard","Little Popeye",66,145,NA,"Orthodox",13,3,0,16,"Orthodox"
"235","Eric","Bedard","Lucky Strikes",74,239,NA,NA,6,7,0,13,NA
"236","Johnny","Bedford","Brutal",70,135,71,"Orthodox",21,13,1,35,"Orthodox"
"237","Chase","Beebe","",67,135,67,"Orthodox",24,13,1,38,"Orthodox"
"238","Lyle","Beerbohm","Fancy Pants",70,155,NA,"Southpaw",24,3,0,27,"Southpaw"
"239","Mirsad","Bektic","",68,145,70,"Orthodox",13,4,0,17,"Orthodox"
"240","Diana","Belbita","The Warrior Princess",67,125,68,"Orthodox",13,6,0,19,"Orthodox"
"241","Alan","Belcher","The Talent",74,185,75,"Orthodox",18,8,0,26,"Orthodox"
"242","Vitor","Belfort","The Phenom",72,185,74,"Southpaw",26,14,0,40,"Southpaw"
"243","Danilo","Belluardo","Caterpillar",72,155,74,"Southpaw",12,5,0,17,"Southpaw"
"244","Joey","Beltran","The Mexicutioner",73,185,75,"Orthodox",17,14,0,31,"Orthodox"
"245","Marco","Beltran","Psycho",68,125,69,"Orthodox",8,6,0,14,"Orthodox"
"246","Joseph","Benavidez","",64,125,65,"Southpaw",28,8,0,36,"Southpaw"
"247","Mike","Bencic","Batman",72,215,NA,"Orthodox",1,2,0,3,"Orthodox"
"248","Dave","Beneteau","Dangerous",74,250,NA,"Orthodox",6,5,1,12,"Orthodox"
"249","Karla","Benitez","",63,113,NA,NA,14,11,1,26,NA
"250","Gabriel","Benitez","Moggly",68,155,71,"Southpaw",22,9,0,31,"Southpaw"
"251","Charles","Bennett","Krazy Horse",68,155,NA,"Orthodox",30,33,2,65,"Orthodox"
"252","Josh","Bennett","",76,259,NA,"Orthodox",11,14,0,25,"Orthodox"
"253","DeAnna","Bennett","The Argentine Assassin",64,125,68,"Orthodox",8,3,1,12,"Orthodox"
"254","Lance","Benoist","",71,170,72,"Southpaw",7,2,0,9,"Southpaw"
"255","Joe","Benoit","",69,170,NA,"Orthodox",11,4,0,15,"Orthodox"
"256","Ryan","Benoit","Baby Face",65,125,68,"Orthodox",10,7,0,17,"Orthodox"
"257","Pat","Benson","",69,155,NA,NA,3,5,3,11,NA
"258","Len","Bentley","",69,155,NA,NA,10,6,0,16,NA
"259","Steve","Berger","The Red Nosed Pitbull",71,170,NA,"Orthodox",21,23,2,46,"Orthodox"
"260","Kenneth","Bergh","",74,205,74,"Orthodox",8,0,0,8,"Orthodox"
"261","Bret","Bergmark","The Angry Hick",69,170,NA,NA,6,1,1,8,NA
"262","Keith","Berish","Sha Bang Bang",72,205,NA,"Orthodox",5,1,0,6,"Orthodox"
"263","Dennis","Bermudez","The Menace",66,155,66,"Orthodox",17,9,0,26,"Orthodox"
"264","Manny","Bermudez","The Bermudez Triangle",70,145,71,"Orthodox",14,2,0,16,"Orthodox"
"265","Talita","Bernardo","",64,135,68,"Orthodox",6,4,0,10,"Orthodox"
"266","Dave","Berry","",NA,NA,NA,NA,0,1,0,1,NA
"267","Keith","Berry","",73,185,NA,NA,15,14,1,30,NA
"268","Dieusel","Berto","",69,200,NA,NA,0,3,0,3,NA
"269","Edson","Berto","Little Tiger",66,155,NA,"Orthodox",17,12,1,30,"Orthodox"
"270","Allen","Berube","Monstah Lobstah",68,155,NA,"Orthodox",4,3,0,7,"Orthodox"
"271","Anton","Berzin","The Body Snatcher",74,205,NA,"Orthodox",5,1,0,6,"Orthodox"
"272","Scott","Bessac","",76,245,NA,NA,4,6,0,10,NA
"273","Matt","Bessette","The Mangler",70,145,70,"Orthodox",22,9,0,31,"Orthodox"
"274","Khadzhi","Bestaev","Best",78,185,76,NA,10,4,0,14,NA
"275","Fernando","Bettega","",NA,170,NA,NA,7,5,0,12,NA
"276","Arjan","Bhullar","",73,245,75,"Orthodox",9,1,0,10,"Orthodox"
"277","KB","Bhullar","The Bengal",76,185,78,"Switch",8,1,0,9,"Mixed"
"278","Bibulatov","Magomed","Chaborz",65,125,65,"Orthodox",14,2,0,16,"Orthodox"
"279","David","Bielkheden","",70,155,71,"Orthodox",24,12,0,36,"Orthodox"
"280","Jeremiah","Billington","",69,205,NA,"Orthodox",11,2,0,13,"Orthodox"
"281","Scott","Bills","",70,170,NA,NA,7,9,1,17,NA
"282","Anthony","Birchak","El Toro",68,135,69,"Orthodox",16,7,0,23,"Orthodox"
"283","Chris","Birchler","The Big Buck",75,205,NA,"Switch",7,4,0,11,"Mixed"
"284","Michael","Bisping","The Count",73,185,75,"Orthodox",30,9,0,39,"Orthodox"
"285","Amaury","Bitetti","",69,185,NA,"Orthodox",5,2,0,7,"Orthodox"
"286","Simon","Biyong","",NA,205,NA,NA,7,1,0,8,NA
"287","Jan","Blachowicz","",74,205,78,"Orthodox",28,8,0,36,"Orthodox"
"288","Jason","Black","The Black Legion",68,155,NA,"Orthodox",23,4,1,28,"Orthodox"
"289","Brad","Blackburn","Bad Brad",70,170,73,"Orthodox",18,13,1,32,"Orthodox"
"290","Jason","Blackford","",NA,NA,NA,NA,3,3,0,6,NA
"291","Tom","Blackledge","",NA,205,NA,"Orthodox",10,7,0,17,"Orthodox"
"292","Sherrard","Blackledge","The Thriller",71,155,75,"Orthodox",5,1,0,6,"Orthodox"
"293","Maximo","Blanco","Maxi",68,145,71,"Orthodox",12,8,1,21,"Orthodox"
"294","David","Blanco","",67,145,NA,NA,2,0,0,2,NA
"295","Curtis","Blaydes","Razor",76,265,80,"Orthodox",14,3,0,17,"Orthodox"
"296","Arlene","Blencowe","Angerfist",65,145,NA,NA,9,6,0,15,NA
"297","Byron","Bloodworth","",68,135,NA,"Orthodox",6,3,0,9,"Orthodox"
"298","Dashawn","Boatwright","Buck, the 400-pound Silverback",72,205,NA,"Orthodox",3,1,0,4,"Orthodox"
"299","Dan","Bobish","",74,345,NA,"Southpaw",17,9,0,26,"Southpaw"
"300","Mark","Bocek","",68,155,75,"Orthodox",12,5,0,17,"Orthodox"
"301","Kyle","Bochniak","Killer B",67,145,70,"Orthodox",8,5,0,13,"Orthodox"
"302","James","Bochnovic","",76,205,81,"Orthodox",8,3,0,11,"Orthodox"
"303","Jeremy","Boczulak","",NA,NA,NA,NA,0,2,0,2,NA
"304","Tim","Boetsch","The Barbarian",72,185,74,"Orthodox",21,13,0,34,"Orthodox"
"305","Galore","Bofando","",71,170,72,"Switch",5,3,0,8,"Mixed"
"306","Jay","Bogan","",NA,145,NA,NA,6,6,0,12,NA
"307","Roman","Bogatov","",68,155,73,"Orthodox",10,1,0,11,"Orthodox"
"308","Derek","Bohi","Marshmallow",76,260,NA,NA,8,5,0,13,NA
"309","Jerry","Bohlander","",71,199,NA,"Orthodox",11,4,0,15,"Orthodox"
"310","Kotetsu","Boku","",69,154,NA,"Orthodox",25,11,2,38,"Orthodox"
"311","Kyle","Bolt","",74,185,NA,NA,8,4,0,12,NA
"312","Denys","Bondar","Psycho",66,125,NA,"Orthodox",12,1,0,13,"Orthodox"
"313","Luc","Bondole","",74,205,NA,NA,5,2,2,9,NA
"314","Tony","Bonello","The Gun",74,185,NA,NA,16,3,1,20,NA
"315","Jesse","Bongfeldt","Water",72,185,NA,"Orthodox",16,5,1,22,"Orthodox"
