"","first_name","last_name","nickname","height_inches","weight_lb","armspan_inches","stance","wins","losses","draws","total_fights","stance2"
"1106","Trevin","Giles","",72,185,74,"Orthodox",13,2,0,15,"Orthodox"
"1107","Kultar","Gill","Black Mamba",72,154,NA,"Orthodox",12,8,0,20,"Orthodox"
"1108","Jesse","Gillespie","",NA,185,NA,NA,3,2,0,5,NA
"1109","Gregor","Gillespie","The Gift",67,155,71,"Orthodox",13,1,0,14,"Orthodox"
"1110","Jason","Gilliam","",72,170,NA,"Orthodox",14,9,0,23,"Orthodox"
"1111","Krishaun","Gilmore","",NA,NA,NA,NA,0,1,0,1,NA
"1112","Alex","Gilpin","",67,145,NA,"Orthodox",11,1,0,12,"Orthodox"
"1113","Bob","Gilstrap","",75,200,NA,"Orthodox",5,7,0,12,"Orthodox"
"1114","Demetrius","Gioulacos","",71,185,NA,NA,0,1,0,1,NA
"1115","Billy","Giovanella","Wolverine",68,125,NA,NA,9,5,0,14,NA
"1116","He-Man","Gipson","",NA,NA,NA,NA,1,2,0,3,NA
"1117","Israel","Giron","El Rojo",68,155,NA,NA,19,5,0,24,NA
"1118","Brandon","Girtz","Cold Roll",67,155,NA,NA,14,7,0,21,NA
"1119","Jason","Glaza","",72,230,NA,NA,3,2,0,5,NA
"1120","Mike","Glenn","",NA,205,NA,NA,5,6,0,11,NA
"1121","Rick","Glenn","The Gladiator",72,145,70,"Southpaw",21,6,1,28,"Southpaw"
"1122","Mark","Godbeer","The Hand Of",76,240,77,"Orthodox",13,4,0,17,"Orthodox"
"1123","Clint","Godfrey","",66,135,NA,"Southpaw",13,3,0,16,"Southpaw"
"1124","Jason","Godsey","",74,230,NA,"Orthodox",16,16,0,32,"Orthodox"
"1125","Allan","Goes","",72,205,NA,"Orthodox",10,5,2,17,"Orthodox"
"1126","Jonny","Goh","",71,155,NA,NA,3,4,0,7,NA
"1127","Hannah","Goldy","24K",64,125,61,"Orthodox",5,1,0,6,"Orthodox"
"1128","Marcelo","Golm","",75,249,75,"Orthodox",6,3,0,9,"Orthodox"
"1129","Sergio","Gomez","",66,155,NA,"Orthodox",10,3,0,13,"Orthodox"
"1130","Frank","Gomez","",70,135,67,"Orthodox",10,6,0,16,"Orthodox"
"1131","Alan","Gomez","",NA,155,NA,NA,2,0,0,2,NA
"1132","David","Gomez","",NA,155,NA,NA,1,2,0,3,NA
"1133","Ulysses","Gomez","Useless",66,125,NA,"Orthodox",9,5,0,14,"Orthodox"
"1134","Joey","Gomez","KO King",70,135,73,"Orthodox",6,2,0,8,"Orthodox"
"1135","Luis","Gomez","Tiger Junior",67,145,68,"Orthodox",4,1,0,5,"Orthodox"
"1136","Joey","Gomez","",70,155,71,"Orthodox",7,1,0,8,"Orthodox"
"1137","Edson","Gomez","",68,170,69,"Switch",6,2,0,8,"Mixed"
"1138","Silvana","Gomez Juarez","La Malvada",63,125,NA,"Orthodox",6,2,0,8,"Orthodox"
"1139","Takanori","Gomi","The Fireball Kid",67,155,70,"Southpaw",35,14,0,49,"Southpaw"
"1140","Akihiro","Gono","",67,170,68,"Switch",35,21,8,64,"Mixed"
"1141","Gabriel","Gonzaga","Napao",74,242,76,"Orthodox",17,11,0,28,"Orthodox"
"1142","Justin","Gonzales","J-Train",69,145,72,"Orthodox",6,0,0,6,"Orthodox"
"1143","Fernando","Gonzalez","The Menifee Maniac",69,170,68,"Southpaw",26,14,0,40,"Southpaw"
"1144","Nick","Gonzalez","The Ghost",66,155,NA,"Orthodox",17,12,0,29,"Orthodox"
"1145","Fabian","Gonzalez","",70,135,NA,NA,2,1,0,3,NA
"1146","Lewis","Gonzalez","Lethal",70,170,NA,"Orthodox",11,3,0,14,"Orthodox"
"1147","Jason","Gonzalez","Nicoya",74,155,74,"Southpaw",11,5,0,16,"Southpaw"
"1148","Pearl","Gonzalez","",64,115,NA,"Orthodox",6,3,0,9,"Orthodox"
"1149","Jorge","Gonzalez","Street",74,205,76,"Orthodox",16,4,0,20,"Orthodox"
"1150","Mikey","Gonzalez","Rolls",71,155,74,"Orthodox",7,2,0,9,"Orthodox"
"1151","Kier","Gooch","",NA,155,NA,NA,2,7,0,9,NA
"1152","Lyman","Good","Cyborg",72,170,74,"Orthodox",21,6,0,27,"Orthodox"
"1153","Jared","Gooden","NiteTrain",72,170,77,"Orthodox",17,5,0,22,"Orthodox"
"1154","Gary","Goodridge","Big Daddy",75,249,NA,"Orthodox",23,22,1,46,"Orthodox"
"1155","Jordan","Goodwin","",NA,155,NA,NA,0,0,0,0,NA
"1156","Gerard","Gordeau","",77,216,NA,"Orthodox",2,2,0,4,"Orthodox"
"1157","Eddie","Gordon","Truck",72,185,76,"Orthodox",8,4,0,12,"Orthodox"
"1158","Jared","Gordon","Flash",69,145,68,"Orthodox",17,4,0,21,"Orthodox"
"1159","Tebaris","Gordon","Boom",73,265,NA,"Orthodox",3,1,0,4,"Orthodox"
"1160","Malcolm","Gordon","X",67,125,71,"Switch",12,5,0,17,"Mixed"
"1161","Alex","Gorgees","Hitman",74,155,74,"Switch",6,1,0,7,"Mixed"
"1162","Tim","Gorman","The Psycho",65,135,NA,"Southpaw",9,4,0,13,"Southpaw"
"1163","Chase","Gormley","",75,265,NA,"Orthodox",14,6,0,20,"Orthodox"
"1164","Jonathan","Goulet","The Road Warrior",72,170,73,"Orthodox",23,12,0,35,"Orthodox"
"1165","Thibault","Gouti","GT",70,155,72,"Orthodox",12,5,0,17,"Orthodox"
"1166","Wilson","Gouveia","",73,185,76,"Orthodox",14,8,0,22,"Orthodox"
"1167","Todd","Gouwenberg","",73,205,NA,"Orthodox",9,5,0,14,"Orthodox"
"1168","Hugo","Govea","",NA,NA,NA,NA,0,1,0,1,NA
"1169","Justin","Governale","The Therapist",NA,145,NA,NA,5,5,0,10,NA
"1170","Damian","Grabowski","The Polish Pitbull",73,241,75,"Orthodox",20,5,0,25,"Orthodox"
"1171","Royce","Gracie","",73,175,NA,"Southpaw",15,2,3,20,"Southpaw"
"1172","Crosley","Gracie","",69,190,NA,"Orthodox",2,2,0,4,"Orthodox"
"1173","Daniel","Gracie","",74,225,NA,"Orthodox",5,4,1,10,"Orthodox"
"1174","Ralph","Gracie","",69,183,NA,"Orthodox",6,1,0,7,"Orthodox"
"1175","Renzo","Gracie","",70,185,NA,"Orthodox",13,7,1,21,"Orthodox"
"1176","Rickson","Gracie","",70,185,NA,"Switch",11,0,0,11,"Mixed"
"1177","Rodrigo","Gracie","",72,183,NA,"Orthodox",6,2,1,9,"Orthodox"
"1178","Royler","Gracie","",68,150,NA,"Southpaw",5,5,1,11,"Southpaw"
"1179","Ryan","Gracie","",69,200,NA,"Orthodox",5,2,0,7,"Orthodox"
"1180","Ralek","Gracie","",74,210,NA,"Orthodox",3,1,0,4,"Orthodox"
"1181","Rolles","Gracie","",76,242,NA,"Orthodox",8,4,0,12,"Orthodox"
"1182","Cesar","Gracie","",70,181,NA,"Orthodox",0,1,0,1,"Orthodox"
"1183","Roger","Gracie","",76,185,79,"Orthodox",8,2,0,10,"Orthodox"
"1184","Igor","Gracie","",71,170,NA,NA,5,4,0,9,NA
"1185","Neiman","Gracie","",72,170,NA,NA,6,0,0,6,NA
"1186","Kron","Gracie","",69,145,70,"Southpaw",5,1,0,6,"Southpaw"
"1187","Steven","Graham","",73,290,NA,"Orthodox",2,1,0,3,"Orthodox"
"1188","Scott","Graham","",76,185,NA,"Orthodox",3,1,0,4,"Orthodox"
"1189","Miranda","Granger","Danger",67,125,68,"Orthodox",7,2,0,9,"Orthodox"
"1190","TJ","Grant","",70,155,72,"Orthodox",21,5,0,26,"Orthodox"
"1191","Davey","Grant","Dangerous",68,135,69,"Orthodox",12,4,0,16,"Orthodox"
"1192","Dwight","Grant","The Body Snatcher",73,170,76,"Switch",10,3,0,13,"Mixed"
"1193","Alexa","Grasso","",65,125,66,"Orthodox",13,3,0,16,"Orthodox"
"1194","Tony","Gravely","",65,135,69,"Orthodox",20,6,0,26,"Orthodox"
"1195","Michael","Graves","",70,170,71,"Orthodox",6,0,1,7,"Orthodox"
"1196","Shelton","Graves","The Gravedigger",74,255,76,"Southpaw",7,3,0,10,"Southpaw"
"1197","James","Gray","The Phenom",69,135,NA,"Orthodox",4,1,0,5,"Orthodox"
"1198","Kevin","Gray","Pocket Herc",64,125,67,"Orthodox",9,4,0,13,"Orthodox"
"1199","Sam","Greco","",74,205,NA,"Orthodox",3,1,1,5,"Orthodox"
"1200","Bobby","Green","King",70,155,71,"Orthodox",27,11,1,39,"Orthodox"
"1201","Desmond","Green","The Predator",70,155,73,"Southpaw",23,8,0,31,"Southpaw"
"1202","Gabe","Green","Gifted",70,170,73,"Switch",10,3,0,13,"Mixed"
"1203","Maurice","Greene","The Crochet Boss",79,258,80,"Orthodox",9,6,0,15,"Orthodox"
"1204","Matt","Grice","The Real One",68,145,70,"Orthodox",15,5,0,20,"Orthodox"
"1205","Forrest","Griffin","",75,205,77,"Orthodox",19,7,0,26,"Orthodox"
"1206","Tyson","Griffin","",66,145,68,"Orthodox",16,8,0,24,"Orthodox"
"1207","Max","Griffin","Pain",71,170,76,"Orthodox",16,8,0,24,"Orthodox"
"1208","Jordan","Griffin","Native Psycho",70,145,73,"Southpaw",18,8,0,26,"Southpaw"
"1209","Chad","Griggs","The Grave Digger",73,205,73,"Orthodox",11,3,0,14,"Orthodox"
"1210","Chuck","Grigsby","The Reverend",78,205,NA,"Orthodox",23,10,0,33,"Orthodox"
"1211","Rodrigo","Gripp de Sousa","Riscado",71,205,NA,"Orthodox",7,9,0,16,"Orthodox"
"1212","Maxim","Grishin","Maximus",75,220,78,"Orthodox",31,9,2,42,"Orthodox"
"1213","Josh","Grispi","The Fluke",71,145,74,"Orthodox",14,5,0,19,"Orthodox"
"1214","Garrett","Gross","",69,155,NA,"Orthodox",11,7,0,18,"Orthodox"
"1215","Kendall","Grove","Da Spyder",78,185,79,"Orthodox",23,17,0,40,"Orthodox"
"1216","Neil","Grove","Goliath",78,265,NA,"Orthodox",12,8,1,21,"Orthodox"
"1217","Chris","Gruetzemacher","Gritz",68,155,68,"Orthodox",14,4,0,18,"Orthodox"
"1218","Vik","Grujic","The Spartan",71,170,73,"Orthodox",6,6,0,12,"Orthodox"
"1219","Mike","Grundy","",67,145,72,"Orthodox",12,2,0,14,"Orthodox"
"1220","Wang","Guan","The Dongbei Tiger",69,145,71,"Orthodox",20,1,1,22,"Orthodox"
"1221","Nandor","Guelmino","The Hun",75,230,NA,NA,11,5,1,17,NA
"1222","Fabricio","Guerreiro","",70,145,NA,NA,21,5,0,26,NA
"1223","Shannon","Gugerty","",70,155,71,"Orthodox",15,7,0,22,"Orthodox"
"1224","Clay","Guida","The Carpenter",67,155,70,"Orthodox",36,17,0,53,"Orthodox"
"1225","Jason","Guida","",70,214,NA,NA,19,28,0,47,NA
"1226","Melvin","Guillard","The Young Assassin",69,155,71,"Orthodox",32,18,2,52,"Orthodox"
"1227","Chris","Guillen","",72,240,NA,"Orthodox",13,16,0,29,"Orthodox"
"1228","Marcelo","Guimaraes","Magrao",72,185,73,"Orthodox",9,2,1,12,"Orthodox"
"1229","Leonardo","Guimaraes","Leleco",72,185,NA,"Orthodox",11,5,0,16,"Orthodox"
"1230","Brad","Gumm","",71,170,NA,"Orthodox",10,6,1,17,"Orthodox"
"1231","John","Gunderson","Quick Guns",69,155,69,"Orthodox",35,16,2,53,"Orthodox"
"1232","John","Gunther","The Machine",69,155,72,"Orthodox",5,1,0,6,"Orthodox"
"1233","Jorge","Gurgel","",67,155,69,"Orthodox",14,10,0,24,"Orthodox"
"1234","Fabio","Gurgel","",72,205,NA,"Orthodox",3,2,0,5,"Orthodox"
"1235","Andre","Gusmao","",72,205,NA,"Orthodox",6,3,0,9,"Orthodox"
"1236","Alexander","Gustafsson","The Mauler",77,205,79,"Orthodox",18,7,0,25,"Orthodox"
"1237","Justin","Guthrie","",73,170,NA,NA,18,9,0,27,NA
"1238","Horacio","Gutierrez","The Punisher",70,145,NA,NA,4,3,0,7,NA
"1239","Chris","Gutierrez","El Guapo",69,145,67,"Orthodox",16,3,2,21,"Orthodox"
"1240","Mike","Guymon","The Joker",72,170,74,"Orthodox",15,6,1,22,"Orthodox"
"1241","Chelsea","Hackett","Hammer",64,125,66,"Switch",3,1,1,5,"Mixed"
"1242","Keith","Hackney","The Giant Killer",71,200,NA,"Sideways",2,2,0,4,"Mixed"
"1243","Steve","Hadsel","",68,170,NA,NA,3,0,0,3,NA
"1244","Damir","Hadzovic","",69,155,70,"Orthodox",13,6,0,19,"Orthodox"
"1245","Tim","Hague","The Trashing Machine",76,260,76,"Orthodox",21,13,0,34,"Orthodox"
"1246","Yazan","Hajeh","Yazzle Dazzle",69,145,NA,"Orthodox",6,1,0,7,"Orthodox"
"1247","Stoney","Hale","The Skuller",72,NA,NA,NA,5,3,0,8,NA
"1248","Kevin","Haley","The North Woods Nightmare",74,205,NA,NA,6,4,0,10,NA
"1249","Mark","Hall","",72,190,NA,"Orthodox",5,6,0,11,"Orthodox"
"1250","Uriah","Hall","Prime Time",72,185,79,"Orthodox",17,9,0,26,"Orthodox"
"1251","Ryan","Hall","The Wizard",70,145,70,"Southpaw",8,1,0,9,"Southpaw"
"1252","Dennis","Hallman","Superman",69,155,72,"Orthodox",53,20,2,75,"Orthodox"
"1253","Piotr","Hallmann","Pletwal",69,155,71,"Orthodox",18,6,0,24,"Orthodox"
"1254","Tony","Halme","",75,300,NA,"Orthodox",0,4,0,4,"Orthodox"
"1255","Brandon","Halsey","Bull",72,185,NA,NA,9,3,0,12,NA
"1256","John","Halverson","The Hurricane",69,155,NA,"Southpaw",16,8,0,24,"Southpaw"
"1257","Seo Hee","Ham","",62,115,62,"Southpaw",17,8,0,25,"Southpaw"
"1258","Frank","Hamaker","",NA,NA,NA,NA,1,0,0,1,NA
"1259","Kazuhiro","Hamanaka","",72,185,NA,"Southpaw",5,7,1,13,"Southpaw"
"1260","Matt","Hamill","The Hammer",73,205,76,"Orthodox",12,8,0,20,"Orthodox"
"1261","Jeremy","Hamilton","Hawk",NA,185,NA,NA,9,2,0,11,NA
"1262","Anthony","Hamilton","Freight Train",77,260,76,"Orthodox",15,9,0,24,"Orthodox"
"1263","CJ","Hamilton","The Autobot",67,125,68,"Switch",11,4,0,15,"Mixed"
"1264","Jared","Hamman","The Messenger",75,185,75,"Orthodox",14,6,0,20,"Orthodox"
"1265","James","Hammortree","The Sledge",75,185,NA,"Orthodox",6,3,0,9,"Orthodox"
"1266","Dean","Hancock","The Hammer",NA,155,NA,NA,2,1,0,3,NA
"1267","Joachim","Hansen","Hellboy",67,150,NA,"Southpaw",23,14,1,38,"Southpaw"
"1268","Kay","Hansen","",62,115,63,"Orthodox",7,4,0,11,"Orthodox"
"1269","Nasrat","Haqparast","",70,155,72,"Southpaw",12,3,0,15,"Southpaw"
"1270","Janay","Harding","Hollowpoint",NA,135,NA,NA,2,3,0,5,NA
"1271","Antoni","Hardonk","",76,245,78,"Orthodox",8,6,0,14,"Orthodox"
"1272","Dan","Hardy","The Outlaw",72,170,74,"Orthodox",25,10,0,35,"Orthodox"
"1273","Greg","Hardy","Prince of War",77,265,80,"Orthodox",7,3,0,10,"Orthodox"
"1274","Baru","Harn","Seiryu",NA,265,NA,NA,1,2,0,3,NA
"1275","Scott","Harper","",72,185,NA,"Orthodox",12,7,0,19,"Orthodox"
"1276","Gerry","Harris","",80,270,NA,"Orthodox",1,4,0,5,"Orthodox"
"1277","Gerald","Harris","",71,185,77,"Southpaw",23,5,0,28,"Southpaw"
"1278","Phil","Harris","Billy",64,125,65,"Orthodox",22,12,0,34,"Orthodox"
"1279","Walt","Harris","The Big Ticket",77,250,77,"Southpaw",13,9,0,22,"Southpaw"
"1280","Dhafir","Harris","Dada 5000",NA,257,NA,NA,2,0,0,2,NA
"1281","Trevor","Harris","",66,145,NA,NA,2,2,0,4,NA
"1282","Carlston","Harris","Mocambique",72,170,NA,NA,15,4,0,19,NA
"1283","Collin","Hart","",73,185,NA,"Orthodox",6,3,1,10,"Orthodox"
"1284","Dale","Hartt","",70,155,69,"Orthodox",6,3,0,9,"Orthodox"
"1285","Luke","Hartwig","",NA,NA,NA,NA,0,1,0,1,NA
"1286","Clay","Harvison","Bushwacker",73,170,74,"Orthodox",13,6,0,19,"Orthodox"
"1287","Hidehiko","Hasegawa","",69,170,NA,NA,19,20,6,45,NA
"1288","Chris","Haseman","The Hammer",71,205,NA,"Orthodox",20,17,0,37,"Orthodox"
"1289","Takayo","Hashi","",64,135,NA,"Orthodox",15,6,1,22,"Orthodox"
"1290","Tomohiko","Hashimoto","",72,250,NA,"Orthodox",1,4,0,5,"Orthodox"
"1291","Justin","Haskins","",70,170,NA,"Orthodox",7,6,0,13,"Orthodox"
"1292","Hayder","Hassan","Hulk",70,170,NA,NA,6,3,0,9,NA
"1293","Daiki","Hata","DJ Taiki",66,139,NA,"Orthodox",17,11,7,35,"Orthodox"
"1294","John","Hathaway","The Hitman",73,170,75,"Orthodox",17,2,0,19,"Orthodox"
"1295","Phil","Hawes","Megatron",72,185,77,"Orthodox",10,2,0,12,"Orthodox"
"1296","Justin","Hawes","The Hawk",71,205,NA,NA,6,9,0,15,NA
"1297","Chris","Hawk","",73,205,NA,NA,5,10,0,15,NA
"1298","Del","Hawkins","The Filipino Delight",65,135,NA,"Orthodox",22,17,0,39,"Orthodox"
"1299","Tommy","Hayden","Wild Card",69,145,NA,"Southpaw",11,3,0,14,"Southpaw"
"1300","Mike","Hayes","",76,230,NA,"Orthodox",20,12,2,34,"Orthodox"
"1301","Ryan","Hayes","",NA,NA,NA,NA,7,6,0,13,NA
"1302","Gerric","Hayes","",70,NA,NA,NA,8,11,0,19,NA
"1303","Josh","Haynes","Bring the Pain",69,170,NA,"Orthodox",14,11,0,25,"Orthodox"
"1304","Dustin","Hazelett","McLovin",73,170,76,"Orthodox",12,7,0,19,"Orthodox"
"1305","James","Head","",73,170,73,"Orthodox",9,4,0,13,"Orthodox"
"1306","Pat","Healy","Bam Bam",72,155,72,"Orthodox",34,23,0,57,"Orthodox"
"1307","Ryan","Healy","The Irish Assassin",73,155,NA,"Orthodox",25,14,1,40,"Orthodox"
"1308","Spencer","Hearns","",71,185,NA,NA,1,0,0,1,NA
"1309","David","Heath","",71,205,72,"Orthodox",18,7,0,25,"Orthodox"
"1310","Chris","Heatherly","Stump",69,155,NA,"Orthodox",9,4,0,13,"Orthodox"
"1311","Jake","Hecht","Hitman",72,170,73,"Orthodox",11,4,0,15,"Orthodox"
"1312","Nick","Hein","Sergeant",66,155,66,"Southpaw",14,5,0,19,"Southpaw"
